Created from child animation PRMS output files
ptet 258
########################################
1988 10 01 0 0 0    0.11   0.10   0.07   0.09   0.10   0.10   0.11   0.11   0.11   0.11   0.11   0.11   0.11   0.09   0.11   0.10   0.11   0.12   0.12   0.13   0.12   0.13   0.13   0.12   0.12   0.14   0.13   0.13   0.12   0.14   0.13   0.11   0.12   0.14   0.13   0.12   0.12   0.13   0.12   0.14   0.14   0.12   0.14   0.12   0.11   0.14   0.12   0.13   0.13   0.13   0.13   0.13   0.13   0.13   0.14   0.13   0.14   0.12   0.12   0.14   0.13   0.13   0.13   0.14   0.13   0.13   0.14   0.14   0.13   0.12   0.12   0.13   0.14   0.14   0.12   0.12   0.11   0.15   0.14   0.14   0.11   0.13   0.11   0.15   0.13   0.14   0.14   0.13   0.11   0.14   0.12   0.12   0.11   0.11   0.13   0.13   0.14   0.14   0.14   0.12   0.14   0.14   0.12   0.14   0.14   0.14   0.14   0.14   0.13   0.14   0.14   0.13   0.14   0.14   0.14   0.13   0.14   0.13   0.15   0.16   0.13   0.13   0.14   0.14   0.12   0.16   0.15   0.15   0.14   0.17   0.16   0.15   0.16   0.15   0.16   0.17   0.16   0.15   0.15   0.16   0.15   0.15   0.16   0.16   0.16   0.15   0.15   0.14   0.15   0.15   0.16   0.15   0.16   0.15   0.15   0.15   0.15   0.15   0.15   0.14   0.17   0.16   0.16   0.15   0.15   0.15   0.15   0.16   0.16   0.15   0.14   0.13   0.14   0.16   0.16   0.16   0.15   0.16   0.16   0.16   0.16   0.16   0.15   0.16   0.16   0.17   0.16   0.16   0.15   0.16   0.15   0.16   0.16   0.16   0.17   0.16   0.16   0.17   0.17   0.16   0.14   0.14   0.15   0.15   0.15   0.15   0.15   0.16   0.17   0.16   0.16   0.15   0.16   0.16   0.16   0.14   0.15   0.15   0.16   0.14   0.15   0.15   0.14   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.16   0.15   0.15   0.16   0.16   0.16   0.15   0.15   0.15   0.15
1988 10 02 0 0 0    0.11   0.10   0.07   0.10   0.09   0.10   0.11   0.11   0.11   0.12   0.11   0.12   0.11   0.10   0.11   0.11   0.11   0.12   0.12   0.13   0.12   0.13   0.13   0.13   0.12   0.14   0.13   0.13   0.12   0.14   0.13   0.11   0.12   0.14   0.13   0.12   0.12   0.13   0.12   0.14   0.14   0.13   0.14   0.13   0.12   0.14   0.12   0.13   0.13   0.13   0.13   0.13   0.13   0.12   0.13   0.13   0.13   0.12   0.12   0.13   0.12   0.13   0.12   0.13   0.13   0.13   0.13   0.13   0.12   0.11   0.11   0.12   0.13   0.13   0.11   0.10   0.11   0.13   0.12   0.12   0.11   0.12   0.12   0.13   0.13   0.11   0.12   0.12   0.11   0.13   0.13   0.13   0.12   0.12   0.13   0.13   0.13   0.10   0.11   0.12   0.12   0.13   0.12   0.11   0.13   0.14   0.13   0.12   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.13   0.13   0.14   0.12   0.14   0.14   0.12   0.14   0.13   0.13   0.11   0.13   0.14   0.14   0.13   0.14   0.12   0.13   0.13   0.14   0.14   0.13   0.15   0.14   0.15   0.14   0.14   0.15   0.15   0.13   0.14   0.15   0.15   0.16   0.14   0.13   0.15   0.15   0.15   0.15   0.15   0.14   0.16   0.16   0.15   0.15   0.15   0.15   0.16   0.16   0.15   0.15   0.14   0.14   0.15   0.16   0.15   0.16   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.16   0.17   0.16   0.15   0.15   0.16   0.15   0.16   0.16   0.16   0.17   0.16   0.16   0.16   0.17   0.15   0.13   0.13   0.14   0.15   0.14   0.14   0.14   0.16   0.17   0.15   0.15   0.14   0.15   0.15   0.15   0.14   0.14   0.14   0.15   0.14   0.14   0.14   0.13   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.14   0.15   0.14   0.14   0.14   0.14   0.14   0.13   0.14   0.12   0.13   0.14   0.14   0.13   0.14   0.14   0.13   0.14   0.14   0.14   0.14   0.13   0.14   0.14   0.13
1988 10 03 0 0 0    0.09   0.09   0.06   0.09   0.11   0.11   0.13   0.10   0.09   0.12   0.12   0.13   0.09   0.10   0.12   0.11   0.12   0.13   0.13   0.13   0.12   0.12   0.12   0.12   0.11   0.13   0.13   0.13   0.11   0.13   0.12   0.10   0.11   0.13   0.12   0.12   0.11   0.12   0.11   0.13   0.13   0.11   0.13   0.11   0.10   0.12   0.11   0.12   0.11   0.12   0.11   0.11   0.12   0.11   0.12   0.11   0.12   0.11   0.10   0.12   0.11   0.11   0.10   0.12   0.11   0.11   0.11   0.11   0.10   0.09   0.09   0.10   0.11   0.11   0.10   0.09   0.10   0.11   0.10   0.09   0.09   0.09   0.09   0.11   0.12   0.08   0.09   0.09   0.10   0.10   0.10   0.10   0.10   0.10   0.11   0.11   0.10   0.09   0.09   0.09   0.10   0.10   0.08   0.09   0.10   0.12   0.10   0.10   0.11   0.12   0.11   0.11   0.11   0.12   0.13   0.11   0.13   0.11   0.12   0.12   0.11   0.11   0.10   0.12   0.09   0.13   0.12   0.11   0.10   0.13   0.12   0.11   0.12   0.12   0.13   0.13   0.13   0.14   0.12   0.13   0.14   0.14   0.14   0.13   0.14   0.15   0.15   0.11   0.13   0.12   0.14   0.13   0.14   0.12   0.14   0.15   0.14   0.13   0.14   0.12   0.15   0.15   0.15   0.14   0.13   0.14   0.13   0.15   0.14   0.14   0.13   0.11   0.14   0.14   0.15   0.15   0.15   0.15   0.14   0.15   0.14   0.14   0.15   0.15   0.16   0.15   0.15   0.15   0.15   0.16   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.13   0.11   0.11   0.12   0.13   0.12   0.12   0.12   0.15   0.15   0.13   0.13   0.11   0.13   0.13   0.13   0.12   0.12   0.12   0.13   0.12   0.12   0.13   0.11   0.13   0.12   0.12   0.13   0.12   0.13   0.13   0.13   0.13   0.13   0.13   0.14   0.13   0.13   0.14   0.13   0.13   0.13   0.14   0.14   0.14   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.15   0.16   0.16   0.15   0.14   0.14   0.15
1988 10 04 0 0 0    0.08   0.07   0.04   0.08   0.08   0.08   0.09   0.08   0.08   0.09   0.09   0.09   0.08   0.06   0.09   0.07   0.08   0.09   0.09   0.11   0.10   0.10   0.09   0.10   0.08   0.12   0.11   0.11   0.10   0.11   0.11   0.08   0.10   0.12   0.11   0.10   0.10   0.11   0.10   0.11   0.11   0.09   0.11   0.09   0.09   0.11   0.10   0.10   0.10   0.11   0.09   0.09   0.10   0.09   0.10   0.10   0.10   0.09   0.09   0.10   0.09   0.10   0.08   0.10   0.09   0.09   0.09   0.09   0.08   0.04   0.04   0.08   0.08   0.08   0.03   0.03   0.03   0.08   0.08   0.05   0.03   0.07   0.04   0.09   0.04   0.05   0.04   0.04   0.03   0.05   0.06   0.06   0.03   0.03   0.04   0.05   0.05   0.05   0.05   0.03   0.05   0.05   0.03   0.05   0.06   0.08   0.06   0.06   0.05   0.05   0.09   0.06   0.06   0.07   0.08   0.06   0.08   0.06   0.08   0.08   0.06   0.08   0.07   0.09   0.05   0.10   0.09   0.08   0.07   0.10   0.09   0.09   0.10   0.10   0.10   0.11   0.10   0.11   0.10   0.10   0.11   0.11   0.12   0.11   0.11   0.12   0.12   0.10   0.11   0.11   0.12   0.12   0.11   0.10   0.12   0.12   0.12   0.12   0.12   0.11   0.12   0.12   0.12   0.11   0.11   0.12   0.12   0.12   0.12   0.13   0.11   0.11   0.11   0.12   0.13   0.13   0.12   0.12   0.12   0.13   0.11   0.11   0.13   0.13   0.14   0.13   0.13   0.13   0.12   0.14   0.12   0.13   0.13   0.13   0.13   0.13   0.13   0.13   0.13   0.12   0.10   0.10   0.11   0.11   0.11   0.11   0.11   0.13   0.13   0.12   0.12   0.11   0.13   0.12   0.12   0.11   0.11   0.11   0.12   0.11   0.11   0.12   0.11   0.12   0.11   0.11   0.11   0.11   0.12   0.11   0.11   0.11   0.11   0.11   0.11   0.13   0.11   0.12   0.11   0.11   0.13   0.13   0.13   0.13   0.13   0.13   0.13   0.13   0.13   0.12   0.13   0.13   0.13   0.13   0.12   0.12   0.12   0.12
1988 10 05 0 0 0    0.03   0.03   0.02   0.03   0.03   0.03   0.04   0.04   0.05   0.05   0.05   0.06   0.05   0.04   0.06   0.06   0.06   0.07   0.06   0.07   0.07   0.07   0.07   0.07   0.07   0.08   0.08   0.08   0.07   0.09   0.08   0.06   0.07   0.09   0.08   0.08   0.07   0.08   0.07   0.08   0.08   0.06   0.08   0.06   0.06   0.08   0.07   0.07   0.07   0.08   0.06   0.07   0.07   0.07   0.07   0.07   0.07   0.06   0.06   0.07   0.06   0.07   0.06   0.07   0.06   0.06   0.06   0.06   0.05   0.03   0.03   0.06   0.06   0.06   0.03   0.03   0.03   0.06   0.06   0.03   0.03   0.05   0.03   0.07   0.03   0.03   0.03   0.03   0.03   0.03   0.05   0.05   0.03   0.03   0.03   0.05   0.04   0.03   0.04   0.03   0.04   0.04   0.03   0.04   0.05   0.07   0.05   0.04   0.05   0.05   0.08   0.06   0.05   0.07   0.08   0.06   0.07   0.06   0.07   0.07   0.06   0.07   0.06   0.08   0.05   0.08   0.08   0.07   0.06   0.09   0.08   0.08   0.09   0.08   0.09   0.09   0.09   0.08   0.08   0.08   0.08   0.08   0.09   0.09   0.09   0.09   0.09   0.07   0.08   0.09   0.08   0.08   0.09   0.08   0.08   0.09   0.09   0.09   0.09   0.08   0.09   0.08   0.08   0.08   0.07   0.09   0.08   0.08   0.09   0.11   0.07   0.06   0.07   0.08   0.10   0.10   0.09   0.09   0.09   0.10   0.08   0.08   0.11   0.10   0.11   0.09   0.10   0.11   0.09   0.11   0.09   0.08   0.10   0.10   0.09   0.10   0.10   0.09   0.09   0.09   0.07   0.07   0.08   0.08   0.09   0.08   0.08   0.09   0.09   0.10   0.10   0.08   0.10   0.10   0.10   0.07   0.08   0.08   0.10   0.07   0.08   0.08   0.07   0.08   0.07   0.08   0.08   0.07   0.09   0.08   0.08   0.08   0.08   0.08   0.08   0.09   0.08   0.09   0.08   0.08   0.09   0.09   0.09   0.09   0.09   0.09   0.10   0.10   0.10   0.08   0.10   0.10   0.10   0.10   0.09   0.10   0.09   0.09
1988 10 06 0 0 0    0.03   0.03   0.02   0.02   0.02   0.03   0.03   0.03   0.03   0.04   0.03   0.05   0.03   0.03   0.04   0.05   0.05   0.05   0.06   0.05   0.05   0.06   0.05   0.05   0.04   0.07   0.06   0.06   0.05   0.07   0.05   0.04   0.05   0.07   0.05   0.06   0.05   0.06   0.05   0.06   0.05   0.02   0.06   0.03   0.02   0.06   0.04   0.04   0.04   0.05   0.03   0.04   0.04   0.05   0.05   0.05   0.05   0.05   0.04   0.05   0.05   0.04   0.05   0.05   0.05   0.04   0.05   0.05   0.05   0.03   0.03   0.05   0.05   0.05   0.03   0.03   0.03   0.05   0.05   0.03   0.03   0.04   0.03   0.05   0.03   0.03   0.03   0.03   0.03   0.03   0.04   0.04   0.03   0.03   0.03   0.03   0.03   0.04   0.04   0.03   0.04   0.04   0.03   0.04   0.04   0.05   0.04   0.04   0.03   0.03   0.05   0.03   0.03   0.05   0.06   0.03   0.05   0.03   0.05   0.05   0.03   0.05   0.03   0.06   0.03   0.06   0.06   0.05   0.03   0.07   0.06   0.06   0.07   0.06   0.07   0.07   0.07   0.07   0.06   0.07   0.07   0.07   0.07   0.07   0.07   0.08   0.07   0.06   0.07   0.07   0.07   0.06   0.07   0.06   0.07   0.08   0.07   0.07   0.07   0.06   0.08   0.07   0.07   0.07   0.06   0.08   0.06   0.07   0.08   0.08   0.05   0.04   0.06   0.07   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.09   0.09   0.08   0.08   0.07   0.09   0.07   0.08   0.08   0.09   0.08   0.08   0.09   0.09   0.09   0.09   0.07   0.07   0.08   0.08   0.08   0.08   0.08   0.09   0.09   0.09   0.09   0.08   0.09   0.09   0.09   0.07   0.08   0.08   0.09   0.07   0.08   0.08   0.07   0.08   0.08   0.08   0.08   0.08   0.09   0.08   0.08   0.08   0.08   0.08   0.09   0.08   0.09   0.09   0.09   0.08   0.08   0.08   0.07   0.08   0.09   0.09   0.09   0.10   0.09   0.08   0.09   0.09   0.09   0.09   0.08   0.10   0.09   0.08
1988 10 07 0 0 0    0.03   0.03   0.02   0.02   0.02   0.03   0.03   0.02   0.02   0.03   0.02   0.03   0.02   0.02   0.02   0.02   0.02   0.03   0.03   0.04   0.04   0.03   0.03   0.03   0.02   0.05   0.06   0.05   0.04   0.05   0.05   0.02   0.04   0.06   0.05   0.05   0.04   0.05   0.04   0.06   0.05   0.05   0.06   0.04   0.03   0.05   0.04   0.05   0.04   0.05   0.04   0.04   0.05   0.04   0.05   0.05   0.05   0.04   0.03   0.05   0.04   0.04   0.03   0.04   0.04   0.04   0.04   0.04   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.04   0.04   0.03   0.03   0.02   0.03   0.05   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.04   0.03   0.03   0.03   0.03   0.04   0.05   0.03   0.03   0.04   0.04   0.04   0.05   0.04   0.05   0.05   0.04   0.04   0.04   0.03   0.06   0.05   0.06   0.04   0.07   0.06   0.06   0.07   0.04   0.07   0.08   0.07   0.07   0.05   0.07   0.07   0.06   0.08   0.07   0.08   0.07   0.07   0.04   0.05   0.06   0.07   0.07   0.08   0.06   0.07   0.07   0.06   0.06   0.06   0.05   0.07   0.07   0.07   0.07   0.05   0.07   0.07   0.07   0.07   0.07   0.05   0.05   0.06   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.07   0.08   0.08   0.08   0.07   0.07   0.09   0.07   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.09   0.08   0.05   0.06   0.07   0.08   0.07   0.07   0.07   0.09   0.09   0.08   0.08   0.07   0.08   0.08   0.08   0.07   0.07   0.07   0.08   0.07   0.07   0.08   0.06   0.08   0.07   0.07   0.08   0.07   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.08   0.07   0.08   0.09   0.09   0.09   0.09   0.10   0.09   0.10   0.10   0.10   0.10   0.09   0.08   0.08   0.09
1988 10 08 0 0 0    0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.03   0.03   0.02   0.03   0.03   0.02   0.02   0.03   0.03   0.03   0.02   0.04   0.03   0.02   0.02   0.03   0.03   0.03   0.02   0.03   0.02   0.04   0.03   0.02   0.03   0.02   0.02   0.03   0.02   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.02   0.02   0.02   0.02   0.02   0.02   0.03   0.03   0.03   0.02   0.02   0.02   0.03   0.02   0.03   0.03   0.03   0.02   0.03   0.02   0.03   0.02   0.02   0.03   0.02   0.03   0.03   0.03   0.02   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.05   0.03   0.03   0.03   0.07   0.04   0.04   0.06   0.05   0.07   0.05   0.05   0.05   0.05   0.03   0.05   0.05   0.05   0.05   0.05   0.04   0.06   0.06   0.05   0.05   0.05   0.03   0.07   0.06   0.07   0.06   0.04   0.06   0.06   0.06   0.06   0.05   0.05   0.04   0.05   0.06   0.06   0.06   0.06   0.06   0.06   0.06   0.06   0.06   0.06   0.06   0.07   0.07   0.06   0.06   0.05   0.07   0.06   0.07   0.07   0.07   0.07   0.07   0.06   0.07   0.07   0.06   0.03   0.04   0.05   0.06   0.05   0.05   0.05   0.07   0.08   0.07   0.06   0.05   0.06   0.06   0.06   0.04   0.05   0.05   0.06   0.05   0.05   0.07   0.03   0.07   0.04   0.04   0.05   0.04   0.06   0.05   0.05   0.05   0.05   0.05   0.06   0.06   0.06   0.06   0.06   0.05   0.07   0.06   0.06   0.06   0.07   0.07   0.07   0.07   0.07   0.06   0.07   0.07   0.07   0.08   0.06   0.05   0.05   0.06
1988 10 09 0 0 0    0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.04   0.04   0.04   0.03   0.05   0.03   0.02   0.03   0.04   0.03   0.04   0.03   0.04   0.03   0.05   0.04   0.02   0.04   0.02   0.02   0.04   0.02   0.03   0.03   0.04   0.02   0.03   0.03   0.03   0.04   0.03   0.04   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.02   0.03   0.03   0.02   0.02   0.02   0.03   0.02   0.02   0.03   0.02   0.02   0.03   0.02   0.02   0.02   0.02   0.03   0.02   0.03   0.03   0.03   0.02   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.02   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.04   0.03   0.03   0.03   0.03   0.04   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.03   0.03   0.03   0.04   0.04   0.03   0.03   0.04   0.03   0.03   0.05   0.05   0.03   0.03   0.02   0.04   0.02   0.03   0.03   0.05   0.03   0.03   0.05   0.05   0.04   0.05   0.04   0.03   0.04   0.03   0.05   0.05   0.05   0.04   0.06   0.07   0.06   0.05   0.07   0.06   0.07   0.03   0.05   0.05   0.07   0.03   0.06   0.04   0.04   0.03   0.04   0.05   0.05   0.04   0.06   0.05   0.05   0.05   0.05   0.04   0.05   0.05   0.06   0.05   0.05   0.04   0.05   0.05   0.06   0.06   0.05   0.05   0.05   0.05   0.04   0.03   0.05   0.04   0.04   0.04   0.03   0.05   0.04   0.03
1988 10 10 0 0 0    0.03   0.03   0.02   0.02   0.02   0.02   0.03   0.02   0.03   0.03   0.02   0.03   0.03   0.02   0.02   0.02   0.02   0.03   0.03   0.03   0.03   0.04   0.04   0.04   0.04   0.05   0.05   0.05   0.03   0.06   0.05   0.03   0.03   0.05   0.05   0.05   0.03   0.04   0.03   0.06   0.05   0.03   0.05   0.03   0.03   0.05   0.03   0.04   0.05   0.05   0.04   0.05   0.05   0.05   0.05   0.05   0.06   0.05   0.04   0.06   0.05   0.05   0.06   0.06   0.05   0.05   0.05   0.06   0.05   0.03   0.03   0.05   0.05   0.05   0.02   0.02   0.02   0.05   0.05   0.03   0.02   0.04   0.02   0.06   0.03   0.03   0.03   0.03   0.02   0.03   0.03   0.03   0.02   0.02   0.03   0.03   0.04   0.06   0.06   0.03   0.05   0.05   0.03   0.06   0.05   0.05   0.05   0.05   0.03   0.03   0.06   0.03   0.04   0.05   0.05   0.03   0.06   0.03   0.06   0.05   0.03   0.06   0.03   0.06   0.03   0.07   0.06   0.03   0.03   0.07   0.03   0.03   0.06   0.06   0.07   0.08   0.06   0.05   0.06   0.06   0.05   0.04   0.06   0.06   0.07   0.04   0.04   0.05   0.06   0.06   0.05   0.03   0.07   0.05   0.04   0.04   0.05   0.06   0.05   0.04   0.06   0.06   0.06   0.04   0.03   0.05   0.03   0.05   0.06   0.06   0.03   0.03   0.04   0.04   0.06   0.06   0.05   0.06   0.06   0.06   0.06   0.06   0.06   0.06   0.07   0.07   0.06   0.06   0.05   0.07   0.05   0.07   0.06   0.07   0.07   0.06   0.07   0.07   0.07   0.07   0.04   0.04   0.06   0.06   0.06   0.06   0.06   0.08   0.07   0.08   0.07   0.06   0.08   0.07   0.08   0.05   0.06   0.06   0.07   0.05   0.06   0.06   0.04   0.06   0.04   0.04   0.04   0.04   0.06   0.04   0.04   0.04   0.04   0.04   0.05   0.07   0.05   0.06   0.05   0.05   0.07   0.07   0.09   0.08   0.07   0.07   0.08   0.07   0.07   0.05   0.07   0.06   0.06   0.06   0.05   0.06   0.06   0.05
